,Decision Tree,Random Forest,SVM,KNN,Gradient Boosting
Acurácia,0.9795454545454545,0.9954545454545455,0.9886363636363636,0.9818181818181818,0.9863636363636363
Acurácia Balanceada,0.9795454545454546,0.9954545454545454,0.9886363636363634,0.9818181818181817,0.9863636363636363
Precisão,0.9805981896890988,0.9956709956709956,0.9893742621015349,0.9823479152426521,0.9866769195716565
Recall,0.9795454545454545,0.9954545454545455,0.9886363636363636,0.9818181818181818,0.9863636363636363
F1-Score,0.9794231513743707,0.9954517027687759,0.9886207074910541,0.9816900365359931,0.9863565296492126
Coef. Matthews,0.9786296820720052,0.9952488663880086,0.9881326680718826,0.980989540350881,0.9857302879592394
Tempo Inferência (s),0.0005567073822021484,0.009873151779174805,0.012440919876098633,0.005153179168701172,0.012940168380737305
